"filename","title","keywords","descriptionen","descriptioncymraeg","facebooktitle","facebookdescription","facebookimage","facebookurl","whatnewenglish","whatnewcymraeg","datelastmodified","htmlcode"
"/games/quiz.html","Y Cyrff Quiz
","Y Cyrff, Y Cyrff quiz
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Y Cyrff Quiz
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-15 22:10:39","<script language=\"JavaScript\" type=\"text/javascript\"\"><!-- Begin var ans = new Array; var done = new Array; var yourAns = new Array; var explainAnswer = new Array;  var score = 0; ans[1] = \"a\"; ans[2] = \"c\"; ans[3] = \"b\"; ans[4] = \"c\"; ans[5] = \"a\"; ans[6] = \"d\";   explainAnswer[1]=\"The reason why Answer 1 is Blah Blah Blah\"; explainAnswer[2]=\"The reason why Answer 2 is Blah Blah Blah\"; explainAnswer[3]=\"The reason why Answer 3 is Blah Blah Blah\"; explainAnswer[4]=\"The reason why Answer 4 is Blah Blah Blah\"; explainAnswer[5]=\"The reason why Answer 5 is Blah Blah Blah\"; explainAnswer[6]=\"The reason why Answer 6 is Blah Blah Blah\";  function Engine(question, answer) { yourAns[question]=answer; }  function Score(){ var answerText = \"How did you do?\\n------------------------------------\\n\"; for(i=1;i<=6;i++){    answerText=answerText+\"\\nQuestion :\"+i+\"\\n\";   if(ans[i]!=yourAns[i]){     answerText=answerText+\"\\nThe correct answer was \"+ans[i]+\"\\n\"+explainAnswer[i]+\"\\n\";   }   else{     answerText=answerText+\" \\nCorrect! \\n\";     score++;   } }  answerText=answerText+\"\\n\\nYour total score is : \"+score+\"\\n\";  //now score the user answerText=answerText+\"\\nComment : \"; if(score<=0){ answerText=answerText+\"You need to learn some more\"; } if(score>=1 && score <=2){ answerText=answerText+\"bit more practice\"; } if(score>=3 && score <=3){ answerText=answerText+\"doing ok\"; } if(score>4){ answerText=answerText+\"You know your stuff then!\"; }  alert(answerText);  } //  End --> </script>"
"/games/alcoholtest.html","How Drunk Are You?
","Y Cyrff, alcohol test
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","How Drunk Are You?
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-15 22:10:36","<script type=\"Javascript\" type=\"text/javascript\"> var lose = 'YOU ARE DRUNK! OH NO!<BR><BR>Thank you for taking the Alcohol Test  ' var win = 'YOU ARE NOT DRUNK! GOOD!<BR><BR>Thank you for taking the Alcohol Test '  function finish(message) {  clearTimeout(timer)  output.innerHTML = message  button1.style.display='none'  button2.style.display='none'  button3.style.display='none'  }  function moveme(obj) {  obj.style.pixelLeft += Math.random() * 250 - 150  obj.style.pixelTop += Math.random() * 250 - 150  }"
"/games/hangman.html",,"Y Cyrff, Y Cyrff hangman
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.",,"One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-15 22:10:38",
"/games/index.html","Games/ Gemau
","Y Cyrff, games
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Games/ Gemau
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-15 22:10:38",
"/interviews/catchingupwithcatatonia.html","Catching up with Catatonia
","Y Cyrff, Mark Roberts, Paul Jones
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Catching up with Catatonia
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-13 22:54:58",
"/interviews/localheros.html","Local Heros
","Y Cyrff, Toni Schiavone, Y Cyrff interviews
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Local Heros
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-13 22:54:59",
"/interviews/cyrffcerysacatatonia.html","Cyrff, Cerys a Catatonia
","Cyrff, Catatonia, Golwg
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Cyrff, Cerys a Catatonia
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-13 22:54:58",
"/interviews/index.html","Interviews/Cyweliadau
","Y Cyrff, Y Cyrff interviews
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Interviews/Cyweliadau
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-13 22:54:58",
"/interviews/formercatatoniaguitaristmarkrobertsreturnswithnewprojecttheearth.html","Former Catatonia guitarist Mark Roberts returns with new project The Earth
","Y Cyrff, Mark Roberts, The Earth, Llanrwst, Catatonia, Interview, chess
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Former Catatonia guitarist Mark Roberts returns with new project The Earth
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-13 22:54:59",
"/lyrics/eithaf.html","Eithaf
","Y Cyrff, Eithaf lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Eithaf
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:28",
"/lyrics/beddargraff.html","Beddargraff
","Y Cyrff, Beddargraff lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff. 
","Un o o'r unig we safle am Y Cyrff.","Beddargraff
","One of the only website about Y Cyrff. 
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:28",
"/lyrics/nunlle.html","Nunlle
","Y Cyrff, Nunlle lyrics, Y Cyrff lyrics
","One of the only website about Y Cyrff.
","Un o o'r unig we safle am Y Cyrff.","Nunlle
","One of the only website about Y Cyrff.
",NULL,NULL,NULL,NULL,"2012-08-15 21:33:29",
